threshold,precision,recall,f1,tn,fp,fn,tp,predicted_positive_rate,false_positive_rate,false_negative_rate,specificity,balanced_accuracy
0.17,0.8075233912545351,0.9771256931608133,0.8842655514898066,1304,1008,99,4229,0.7887048192771084,0.4359861591695502,0.022874306839186693,0.5640138408304498,0.7705697669956315
0.18,0.8123798539023452,0.9764325323475046,0.8868835257082897,1336,976,102,4226,0.783433734939759,0.42214532871972316,0.02356746765249538,0.5778546712802768,0.7771436018138906
0.19,0.817812197483059,0.9759704251386322,0.8899188876013905,1371,941,104,4224,0.7778614457831325,0.4070069204152249,0.024029574861367836,0.5929930795847751,0.7844817523617036
0.2,0.824,0.975739371534196,0.8934729715434254,1410,902,105,4223,0.7718373493975904,0.39013840830449825,0.024260628465804065,0.6098615916955017,0.7928004816148488
0.21,0.8294314381270903,0.9741219963031423,0.8959727977898204,1445,867,112,4216,0.7655120481927711,0.375,0.025878003696857672,0.625,0.7995609981515712
0.22,0.8339278636543797,0.9722735674676525,0.897802432259441,1474,838,120,4208,0.7599397590361445,0.3624567474048443,0.027726432532347505,0.6375432525951558,0.8049084100314041
0.23,0.840063974410236,0.9708872458410351,0.9007502679528403,1512,800,126,4202,0.7533132530120482,0.3460207612456747,0.02911275415896488,0.6539792387543253,0.8124332422976802
0.24,0.8486442735734521,0.9690388170055453,0.9048543689320389,1564,748,134,4194,0.744277108433735,0.3235294117647059,0.030961182994454713,0.6764705882352942,0.8227547026204197
0.25,0.8548123980424144,0.9685767097966729,0.9081455805892548,1600,712,136,4192,0.7385542168674699,0.3079584775086505,0.031423290203327174,0.6920415224913494,0.8303091161440112
0.26,0.8605798889574336,0.9669593345656192,0.9106734849309107,1634,678,143,4185,0.7323795180722892,0.29325259515570934,0.03304066543438078,0.7067474048442907,0.8368533697049549
0.27,0.8669154228855721,0.9662661737523105,0.9138986013986014,1670,642,146,4182,0.7265060240963855,0.27768166089965396,0.03373382624768946,0.722318339100346,0.8442922564263282
0.28,0.8728601252609604,0.9660351201478743,0.9170870805001097,1703,609,147,4181,0.7213855421686747,0.2634083044982699,0.03396487985212569,0.7365916955017301,0.8513134078248021
0.29,0.8761006289308176,0.9655730129390019,0.9186634425148384,1721,591,149,4179,0.7183734939759037,0.2556228373702422,0.03442698706099815,0.7443771626297578,0.8549750877843798
0.3,0.8789473684210526,0.964648798521257,0.9198061246970698,1737,575,153,4175,0.7153614457831325,0.24870242214532873,0.03535120147874307,0.7512975778546713,0.8579731881879642
0.31,0.8831003811944091,0.9634935304990758,0.9215469613259668,1760,552,158,4170,0.7111445783132531,0.23875432525951557,0.03650646950092421,0.7612456747404844,0.8623696026197801
0.32,0.8884623587118788,0.9625693160813309,0.9240323832760342,1789,523,162,4166,0.7061746987951807,0.22621107266435986,0.03743068391866913,0.7737889273356401,0.8681791217084855
0.33,0.8935622317596567,0.9621072088724584,0.9265687583444593,1816,496,164,4164,0.7018072289156626,0.21453287197231835,0.03789279112754159,0.7854671280276817,0.87378716845007
0.34,0.8993288590604027,0.9597966728280961,0.9285794120934392,1847,465,174,4154,0.6956325301204819,0.20112456747404844,0.040203327171903884,0.7988754325259516,0.8793360526770239
0.35,0.9055822067160925,0.9595656192236599,0.931792685663002,1879,433,175,4153,0.6906626506024096,0.18728373702422146,0.04043438077634011,0.8127162629757786,0.8861409410997192
0.36,0.9106868553873162,0.9588724584103512,0.9341586944288126,1905,407,178,4150,0.6862951807228915,0.17603806228373703,0.0411275415896488,0.823961937716263,0.8914171980633071
0.37,0.9154338706116141,0.9579482439926063,0.9362086485265891,1929,383,182,4146,0.682078313253012,0.1656574394463668,0.04205175600739371,0.8343425605536332,0.8961454022731197
0.38,0.9188110026619344,0.9570240295748613,0.9375282933454051,1946,366,186,4142,0.6789156626506024,0.1583044982698962,0.042975970425138635,0.8416955017301038,0.8993597656524825
