threshold,precision,recall,f1,tn,fp,fn,tp,predicted_positive_rate,false_positive_rate,false_negative_rate,specificity,balanced_accuracy,selected_candidate_rules
0.15,0.43902439024390244,0.901072705601907,0.5903943771964076,385,966,83,756,0.7863013698630137,0.7150259067357513,0.09892729439809297,0.2849740932642487,0.5930233994330778,
0.16,0.4462174940898345,0.899880810488677,0.5966021335440538,414,937,84,755,0.7726027397260274,0.6935603256846781,0.10011918951132301,0.306439674315322,0.6031602424019995,
0.17,0.45051608986035213,0.8843861740166865,0.5969428801287209,446,905,97,742,0.7520547945205479,0.6698741672834937,0.11561382598331346,0.3301258327165063,0.6072560033665964,
0.18,0.45589142504626773,0.8808104886769964,0.6008130081300813,469,882,100,739,0.7401826484018265,0.6528497409326425,0.11918951132300358,0.3471502590673575,0.613980373872177,
0.19,0.4629396984924623,0.8784266984505363,0.6063348416289592,496,855,102,737,0.7269406392694064,0.6328645447816432,0.12157330154946365,0.3671354552183568,0.6227810768344466,
0.2,0.472703917790623,0.8772348033373063,0.6143572621035058,530,821,103,736,0.7109589041095891,0.6076980014803849,0.12276519666269368,0.3923019985196151,0.6347684009284607,
0.21,0.48023715415019763,0.8688915375446961,0.618582944420874,562,789,110,729,0.6931506849315069,0.5840118430792006,0.13110846245530394,0.41598815692079943,0.6424398472327477,
0.22,0.48486886348352387,0.8593563766388558,0.6199484092863284,585,766,118,721,0.6789954337899543,0.5669874167283494,0.14064362336114422,0.43301258327165065,0.6461844799552532,
0.23,0.49276361130255,0.8522050059594756,0.6244541484716157,615,736,124,715,0.6625570776255708,0.5447816432272391,0.14779499404052443,0.4552183567727609,0.6537116813661182,
0.24,0.505360972122945,0.8426698450536353,0.6318141197497766,659,692,132,707,0.6388127853881278,0.5122131754256106,0.1573301549463647,0.4877868245743893,0.6652283348140123,
0.25,0.5168621700879765,0.8402860548271752,0.640036314117113,692,659,134,705,0.6228310502283105,0.4877868245743893,0.15971394517282478,0.5122131754256106,0.6762496151263929,
0.26,0.527190332326284,0.831942789034565,0.6453999075358299,725,626,141,698,0.6045662100456621,0.463360473723168,0.16805721096543505,0.536639526276832,0.6842911576556985,
0.27,0.5395962732919255,0.8283671036948749,0.6535025858015985,758,593,144,695,0.5881278538812785,0.4389341228719467,0.17163289630512515,0.5610658771280533,0.6947164904114641,
0.28,0.552547770700637,0.8271752085816448,0.6625298329355609,789,562,145,694,0.5735159817351598,0.41598815692079943,0.1728247914183552,0.5840118430792006,0.7055935258304227,
0.29,0.5589660743134087,0.8247914183551848,0.666345690900337,805,546,147,692,0.5652968036529681,0.40414507772020725,0.17520858164481526,0.5958549222797928,0.7103231703174888,
0.3,0.5647540983606557,0.8212157330154947,0.6692569208353569,820,531,150,689,0.5570776255707762,0.3930421909696521,0.17878426698450536,0.6069578090303479,0.7140867710229213,
0.31,0.5738255033557047,0.8152562574493445,0.6735598227474151,843,508,155,684,0.5442922374429223,0.3760177646188009,0.18474374255065554,0.6239822353811991,0.7196192464152718,
0.32,0.58656330749354,0.8116805721096544,0.681,871,480,158,681,0.5301369863013699,0.35529237601776464,0.18831942789034564,0.6447076239822354,0.7281940980459449,
0.33,0.5998233215547704,0.8092967818831943,0.6889903602232369,898,453,160,679,0.5168949771689497,0.33530717986676534,0.1907032181168057,0.6646928201332346,0.7369948010082145,
0.34,0.6142595978062158,0.8009535160905841,0.6952922917744438,929,422,167,672,0.4995433789954338,0.31236121391561805,0.19904648390941598,0.6876387860843819,0.744296151087483,
0.35,0.632173095014111,0.8009535160905841,0.7066246056782335,960,391,167,672,0.4853881278538813,0.28941524796447077,0.19904648390941598,0.7105847520355293,0.7557691340630567,
0.36,0.6470019342359767,0.797377830750894,0.7143619861185264,986,365,170,669,0.47214611872146117,0.2701702442635085,0.2026221692491061,0.7298297557364914,0.7636037932436928,
0.37,0.6610505450941526,0.7949940405244339,0.7218614718614719,1009,342,172,667,0.46073059360730595,0.2531458179126573,0.20500595947556616,0.7468541820873427,0.7709241113058882,
0.38,0.6720484359233098,0.7938021454112039,0.7278688524590164,1026,325,173,666,0.45251141552511415,0.24056254626202814,0.2061978545887962,0.7594374537379719,0.7766197995745878,
