machine_id,run_id,segment_id,start_time,end_time,duration_seconds,row_count,median_interval_seconds,number_of_gaps_before_segment,safe_for_5min_label,safe_for_10min_label
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_025,2026-07-28 11:27:46.411000+00:00,2026-07-28 11:35:14.434000+00:00,448.023,182,2.057,24,True,False
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_026,2026-07-28 11:35:25.553000+00:00,2026-07-28 11:37:38.910000+00:00,133.357,42,2.11,25,False,False
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_027,2026-07-28 11:37:51.213000+00:00,2026-07-28 11:37:51.213000+00:00,0.0,1,,26,False,False
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_028,2026-07-28 11:38:02.738000+00:00,2026-07-28 11:58:20.225000+00:00,1217.487,484,2.067,27,True,True
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_029,2026-07-28 11:58:31.449000+00:00,2026-07-28 11:59:59.839000+00:00,88.39,15,8.665500000000002,28,False,False
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_030,2026-07-28 12:10:53.034000+00:00,2026-07-28 12:22:14.981000+00:00,681.947,228,2.159,29,True,True
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_031,2026-07-28 12:22:28.066000+00:00,2026-07-28 12:22:28.066000+00:00,0.0,1,,30,False,False
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_032,2026-07-28 12:22:42.048000+00:00,2026-07-28 12:22:42.048000+00:00,0.0,1,,31,False,False
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_033,2026-07-28 12:22:56.551000+00:00,2026-07-28 12:22:56.551000+00:00,0.0,1,,32,False,False
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_034,2026-07-28 12:23:09.536000+00:00,2026-07-28 12:23:09.536000+00:00,0.0,1,,33,False,False
