comparison,feature,feature_type,train_mean,difficult_mean,train_median,difficult_median,train_std,difficult_std,train_p10,train_p25,train_p75,train_p90,train_p95,difficult_p10,difficult_p25,difficult_p75,difficult_p90,difficult_p95,train_missing_pct,difficult_missing_pct,missing_pct_difference,standardized_mean_difference,absolute_smd,psi,ks_statistic,shift_metric,shift_rank
train_negative_vs_difficult_negative,cpu_pct_change_120s,engineered,-2.742363982291171,-0.5879358132749817,-0.2999999999999998,-0.2000000000000028,17.061056853543604,10.630940003828776,-16.400000000000006,-5.6,3.700000000000003,11.0,17.200000000000003,-12.9,-5.099999999999994,4.200000000000003,11.799999999999995,16.9,0.0,0.0,0.0,0.1515669276506546,0.1515669276506546,0.035253215161700574,0.0394563302770069,0.22627647308936208,189
train_negative_vs_difficult_negative,thread_count_std_60s,engineered,27.201467386868984,31.32276483606487,20.79169602644288,20.78187207397584,24.89470900420964,36.50020926809004,10.366198168554888,14.488747686475504,30.838992821764062,49.5697113624862,65.28404815971396,10.135257315765944,13.972841763428157,34.22601339799954,57.162019933966306,84.8902501367485,0.05305330942885369,0.0,-0.05305330942885369,0.13191911749736598,0.13191911749736598,0.031153773439385905,0.04607215339147275,0.20914504432822464,190
train_negative_vs_difficult_negative,context_switches_per_s_diff,engineered,-5.892033403350579,-50.993479212253824,-10.299999999999955,-54.10000000000037,6492.206628048849,9497.677196498214,-5263.130000000001,-2210.674999999998,2179.2749999999983,5253.680000000001,8428.000000000007,-5873.76,-2954.1499999999996,2912.0,5803.140000000001,9018.119999999954,28.582927810910686,0.0,-28.582927810910686,-0.005544161987761784,0.005544161987761784,0.1315919867575876,0.06952063651608942,0.2066567852614388,191
train_negative_vs_difficult_negative,ram_pct_change_30s,engineered,-0.0476473601404998,-0.08789204959883296,0.0,0.0,1.0380224358781114,1.243445320459166,-1.0,-0.3999999999999915,0.3999999999999915,0.9000000000000057,1.2999999999999972,-1.1999999999999886,-0.5,0.5,1.0,1.4000000000000057,0.0,0.0,0.0,-0.035137502566081294,0.035137502566081294,0.08738494530385603,0.0669026370693277,0.18942508493926502,192
train_negative_vs_difficult_negative,network_latency_ms_change_60s,engineered,-73.69058790703507,-2.427786753327143,-1.763499999999997,-0.10950000000000054,3477.8002907797704,64.15762641311062,-44.3,-15.722500000000002,10.351,32.0625,74.27499999999999,-25.164699999999996,-11.792,10.885000000000003,23.41100000000001,34.2238,12.46935714024368,5.733041575492341,-6.736315564751338,0.028973393230725238,0.028973393230725238,0.09311077761134375,0.066253818331544,0.188337989173613,193
train_negative_vs_difficult_negative,network_latency_ms_change_120s,engineered,-133.6966119512553,-2.571865487002819,-1.5900000000000034,-0.607999999999997,4786.278423400175,66.47412915929418,-45.2514,-15.984000000000002,10.690999999999995,32.056400000000004,76.1671999999999,-25.753500000000003,-11.751000000000001,10.914750000000002,23.385,34.886750000000006,12.778529874501482,6.841721371261852,-5.93680850323963,0.03874001811092204,0.03874001811092204,0.08110096072512159,0.06771884188505384,0.18755982072109748,194
train_negative_vs_difficult_negative,thread_count_change_60s,engineered,-5.377172441549888,-13.095113056163385,-8.0,-14.0,84.55420099350886,120.75704083061743,-78.0,-42.0,29.0,71.0,112.0,-105.0,-50.5,27.0,76.60000000000036,130.0,0.0,0.0,0.0,-0.07404058159716445,0.07404058159716445,0.03566250032652786,0.06397564065950978,0.1736787225832021,195
train_negative_vs_difficult_negative,cpu_pct_change_60s,engineered,-1.33343090263803,-0.1910138584974471,-0.0999999999999996,0.2000000000000028,13.9493758562142,10.340364208284791,-12.4,-4.200000000000003,3.6000000000000014,10.1,16.0,-12.0,-4.600000000000001,4.5,11.4,16.72999999999993,0.0,0.0,0.0,0.09304436884124814,0.09304436884124814,0.02774459082979797,0.05109193422366398,0.1718808938947101,196
train_negative_vs_difficult_negative,network_latency_ms_change_30s,engineered,-42.97762525543184,-2.8386910293891368,-1.8350000000000009,-0.4109999999999942,2590.20168465435,66.34298612192752,-43.017900000000004,-15.518749999999994,10.391250000000003,32.05800000000002,75.72770000000018,-25.345799999999983,-11.909000000000006,10.288499999999999,22.434399999999993,34.1614,12.264461600380521,5.193289569657185,-7.071172030723336,0.021908106581092282,0.021908106581092282,0.08601001879023062,0.06105866110817937,0.16897678647950226,197
train_negative_vs_difficult_negative,cpu_pct_change_30s,engineered,-0.7463795689875966,0.06612691466083151,0.0,0.3000000000000042,12.44122005104751,10.036651208167333,-12.5,-4.0,3.6999999999999993,10.9,17.10000000000001,-11.5,-4.200000000000003,4.600000000000001,11.100000000000005,16.399999999999995,0.0,0.0,0.0,0.07188376374270798,0.07188376374270798,0.035920907782691296,0.06082519025947686,0.16862986178487613,198
train_negative_vs_difficult_negative,ram_pct_change_120s,engineered,-0.1961051553181369,-0.3377242888402626,0.0,0.0,1.8172434946974703,2.1280151029111525,-2.0,-0.7000000000000028,0.5999999999999943,1.4000000000000057,2.0999999999999943,-2.5999999999999943,-1.0,0.7000000000000028,1.6000000000000083,2.299999999999997,0.0,0.0,0.0,-0.07157036780941309,0.07157036780941309,0.04080050875327318,0.05076508505916383,0.1631359616218501,199
train_negative_vs_difficult_negative,context_switches_per_s_change_30s,engineered,-322.34762882937713,-486.17282275711153,-1.5,133.60000000000036,16322.249500568634,20433.77942665633,-9857.249999999993,-2633.774999999999,2669.725000000001,9103.890000000005,16786.099999999984,-7431.76,-2655.0499999999997,2877.95,6735.320000000006,11667.479999999945,27.862134572463503,0.0,-27.862134572463503,-0.008858942239070904,0.008858942239070904,0.09315022532110728,0.055062944134943725,0.15707211169512192,200
train_negative_vs_difficult_negative,disk_write_mb_s_change_120s,engineered,-0.19904660525924828,0.060642479941648425,-0.0021,-0.0075999999999999,8.862229577404113,9.592342472665015,-1.7975399999999992,-0.25832499999999997,0.22809999999999991,1.563490000000001,4.1452,-1.98088,-0.27109999999999995,0.21819999999999995,1.9844800000000016,7.717289999999965,1.489151512934031,0.0,-1.489151512934031,0.028121604666463115,0.028121604666463115,0.08354227379494324,0.040382543141398886,0.15204642160280524,201
train_negative_vs_difficult_negative,disk_write_mb_s_change_60s,engineered,-0.151916012023309,0.018609846827133493,-0.0002999999999999,-0.0025,8.589654086098655,8.561804856097082,-1.54446,-0.2271,0.205825,1.4764300000000001,3.6698249999999972,-2.0318799999999997,-0.22865,0.2128,1.7535400000000045,7.1326599999999765,0.7939702169697413,0.0,-0.7939702169697413,0.019884679738523616,0.019884679738523616,0.08017088714095319,0.04527422025069938,0.1453297871301762,202
train_negative_vs_difficult_negative,context_switches_per_s_change_120s,engineered,-1314.296980548757,-1999.4179139314367,-84.2,-364.3999999999997,18403.51138479614,24089.70553273665,-10491.58,-3480.2999999999993,2666.1499999999996,8824.759999999997,14853.41,-9322.94,-3487.85,2625.75,7078.300000000002,12629.259999999955,28.99088946617394,0.0,-28.99088946617394,-0.03196124855605843,0.03196124855605843,0.058676996061602114,0.047502596289624166,0.1381408409072847,203
train_negative_vs_difficult_negative,context_switches_per_s_change_60s,engineered,-689.1950556022089,-1009.0181473377095,2.0,131.10000000000036,16286.37434385201,21801.64701285759,-7983.56,-2691.5,2647.5,7398.400000000004,11949.139999999987,-7987.44,-2979.699999999999,2887.2500000000005,6678.6200000000035,11909.989999999978,28.10910687497713,0.0,-28.10910687497713,-0.0166205478251348,0.0166205478251348,0.0626842259402136,0.05613097675230816,0.13543575051765655,204
train_negative_vs_difficult_negative,disk_write_mb_s_change_30s,engineered,-0.08187055700481317,-0.010903778264040856,0.0,-0.0031,7.820897081298965,8.687650436730726,-1.4674099999999999,-0.20637499999999992,0.19979999999999998,1.449840000000001,3.487249999999993,-1.6607199999999989,-0.21975,0.21975,1.6859600000000006,6.865509999999969,0.4171087775785738,0.0,-0.4171087775785738,0.008585754380494017,0.008585754380494017,0.07818145379853884,0.04733408912517589,0.13410129730420875,205
train_negative_vs_difficult_negative,thread_count_change_30s,engineered,-3.039094800775676,-7.35419401896426,-5.0,-9.0,60.17128996403716,79.28306379293625,-56.0,-29.0,20.0,52.0,82.0,-67.0,-33.0,17.0,52.0,86.0,0.0,0.0,0.0,-0.06131237078622885,0.06131237078622885,0.019111545931724493,0.04872297232183537,0.12914688903978871,206
train_negative_vs_difficult_negative,swap_pct_change_60s,engineered,0.015517178295708168,0.021152443471918306,0.0,0.0,0.3062785048853907,0.22718410978718886,0.0,0.0,0.0,0.0,0.1949999999996982,-0.0999999999999996,0.0,0.0,0.0999999999999996,0.200000000000001,0.0,0.0,0.0,0.02089866602530265,0.02089866602530265,0.03426354347727578,0.0652604597377035,0.12042266924028193,207
train_negative_vs_difficult_negative,thread_count_std_30s,engineered,19.073301260952302,20.086108636916183,14.16736692947595,13.525130929685464,19.623449221147716,25.91946495373344,5.865313687792431,8.9144078135605,22.39307928802516,35.02933928660126,49.496309099586796,5.287139692170324,8.06818044625722,22.179215057450634,37.78251043711631,54.25050264670874,0.05305330942885369,0.0,-0.05305330942885369,0.044058045636053395,0.044058045636053395,0.021723798612817417,0.05177506513424507,0.11755690938311589,208
